;id;libelle;famille;type;C3;STOCK;IDINTERN;categorie;conditionnement;PRIXACHAT;PRIX;TotQut;Magas;TotCA.;24_01;24_02;24_03;24_04;24_05;24_06;24_07;24_08;24_09;24_10;24_11;24_12
;101;MOZZARELLA DI BUFALA;ITALIA;02. FROMAGE;Campanie;22;1001;02. FROMAGE;1;2,05;4,90;742;EE;3635,80;48;46;52;55;60;66;72;74;68;64;70;67
;102;BURRATA CREMEUSE;ITALIA;02. FROMAGE;Pouilles;18;1002;02. FROMAGE;1;3,42;7,80;418;EE;3260,40;24;22;25;27;32;36;44;46;39;35;44;44
;103;RICOTTA FRAICHE;ITALIA;02. FROMAGE;Pouilles;14;1003;02. FROMAGE;1;1,80;4,20;286;EE;1201,20;16;16;18;18;22;24;29;27;26;24;34;32
;104;TOMATES DATTERINO BIO;TERRA;01. FRUIT ET LEGUME;Sicile;42;2001;01. FRUIT ET LEGUME;1;2,10;4,80;892;EE;4281,60;58;62;68;70;74;82;88;93;86;72;70;69
;105;BASILIC BIO;TERRA;01. FRUIT ET LEGUME;Belgique;28;2002;01. FRUIT ET LEGUME;1;0,95;2,80;344;EE;963,20;21;18;22;25;28;30;33;35;31;28;38;35
;106;POIRE CONFERENCE BIO;INTERBIO;01. FRUIT ET LEGUME;Belgique;72;2003;01. FRUIT ET LEGUME;1;2,25;4,40;604;EE;2657,60;62;58;48;34;22;12;8;10;24;62;118;146
;107;EARL GREY TEA 100G;PANTRY;05. EPICERIE SUCREE;Tea;36;3001;01. FRUIT ET LEGUME;1;3,10;7,90;204;EE;1611,60;12;12;15;16;14;14;16;18;18;18;24;27
;108;HUILE D'OLIVE 750ML;PANTRY;04. EPICERIE;Pouilles;26;3002;04. EPICERIE;1;7,80;15,90;168;EE;2671,20;12;10;12;13;14;14;13;11;12;15;16;16
;109;GRANOLA MAISON;PANTRY;05. EPICERIE SUCREE;Maison;34;3003;05. EPICERIE SUCREE;1;2,90;6,80;148;EE;1006,40;14;15;15;14;13;12;11;10;10;11;11;12
;110;PAIN AU LEVAIN;BAKERY;12. BOULANGERIE;Atelier;18;4001;12. BOULANGERIE;1;2,10;4,90;512;EE;2508,80;38;36;40;42;44;45;46;44;40;42;48;47
;111;COMTE 18 MOIS;FROMAGERIE;02. FROMAGE;Jura;40;5001;02. FROMAGE;1;14,60;32,00;238;EE;7616,00;16;18;17;18;19;20;21;20;20;22;23;24
;112;TOMME DU LARZAC;FROMAGERIE;02. FROMAGE;Larzac;64;5002;02. FROMAGE;1;15,60;32,00;194;EE;6208,00;14;14;15;15;16;16;16;15;15;18;20;20
;113;TALEGGIO DOP;FROMAGERIE;02. FROMAGE;Lombardie;20;5003;02. FROMAGE;1;11,20;24,50;156;EE;3822,00;10;10;11;12;12;13;14;14;14;15;16;15
;114;MIX APERO OLIVES;PANTRY;04. EPICERIE;Med;22;3004;04. EPICERIE;1;2,70;6,20;214;EE;1326,80;10;10;12;16;20;18;18;16;14;20;28;32

